Experiment,Dataset,Entries,Time(us)
mergesort,input_semi_19.txt,4750,2965
mergesort,input_semi_20.txt,5000,3891
mergesort,input_backsorted_1.txt,250,145
mergesort,input_backsorted_2.txt,500,194
mergesort,input_backsorted_3.txt,750,391
mergesort,input_backsorted_4.txt,1000,581
mergesort,input_backsorted_5.txt,1250,501
mergesort,input_backsorted_6.txt,1500,583
mergesort,input_backsorted_7.txt,1750,707
mergesort,input_backsorted_8.txt,2000,984
mergesort,input_backsorted_9.txt,2250,988
mergesort,input_backsorted_10.txt,2500,1181
mergesort,input_backsorted_11.txt,2750,1160
mergesort,input_backsorted_12.txt,3000,1342
mergesort,input_backsorted_13.txt,3250,1456
mergesort,input_backsorted_14.txt,3500,1556
mergesort,input_backsorted_15.txt,3750,1828
mergesort,input_backsorted_16.txt,4000,1944
mergesort,input_backsorted_17.txt,4250,1966
mergesort,input_backsorted_18.txt,4500,2142
mergesort,input_backsorted_19.txt,4750,2603
mergesort,input_backsorted_20.txt,5000,3448
quicksort,input_randomized_1.txt,250,31
quicksort,input_randomized_2.txt,500,63
quicksort,input_randomized_3.txt,750,118
quicksort,input_randomized_4.txt,1000,147
quicksort,input_randomized_5.txt,1250,390
quicksort,input_randomized_6.txt,1500,237
quicksort,input_randomized_7.txt,1750,367
quicksort,input_randomized_8.txt,2000,364
quicksort,input_randomized_9.txt,2250,1013
quicksort,input_randomized_10.txt,2500,523
quicksort,input_randomized_11.txt,2750,610
quicksort,input_randomized_12.txt,3000,815
quicksort,input_randomized_13.txt,3250,1666
quicksort,input_randomized_14.txt,3500,630
quicksort,input_randomized_15.txt,3750,1086
quicksort,input_randomized_16.txt,4000,710
quicksort,input_randomized_17.txt,4250,846
quicksort,input_randomized_18.txt,4500,1783
quicksort,input_randomized_19.txt,4750,1222
quicksort,input_randomized_20.txt,5000,1247
quicksort,input_partial_1.txt,250,101
quicksort,input_partial_2.txt,500,376
quicksort,input_partial_3.txt,750,844
quicksort,input_partial_4.txt,1000,1366
quicksort,input_partial_5.txt,1250,2517
quicksort,input_partial_6.txt,1500,5001
quicksort,input_partial_7.txt,1750,7496
quicksort,input_partial_8.txt,2000,9562
quicksort,input_partial_9.txt,2250,8822
quicksort,input_partial_10.txt,2500,9130
quicksort,input_partial_11.txt,2750,14300
quicksort,input_partial_12.txt,3000,16088
quicksort,input_partial_13.txt,3250,23133
quicksort,input_partial_14.txt,3500,30918
quicksort,input_partial_15.txt,3750,27885
quicksort,input_partial_16.txt,4000,29461
quicksort,input_partial_17.txt,4250,33848
quicksort,input_partial_18.txt,4500,36662
quicksort,input_partial_19.txt,4750,40012
quicksort,input_partial_20.txt,5000,57629
quicksort,input_semi_1.txt,250,51
quicksort,input_semi_2.txt,500,79
quicksort,input_semi_3.txt,750,117
quicksort,input_semi_4.txt,1000,181
quicksort,input_semi_5.txt,1250,231
quicksort,input_semi_6.txt,1500,264
quicksort,input_semi_7.txt,1750,389
quicksort,input_semi_8.txt,2000,381
quicksort,input_semi_9.txt,2250,436
quicksort,input_semi_10.txt,2500,584
quicksort,input_semi_11.txt,2750,798
quicksort,input_semi_12.txt,3000,915
quicksort,input_semi_13.txt,3250,605
quicksort,input_semi_14.txt,3500,629
quicksort,input_semi_15.txt,3750,734
quicksort,input_semi_16.txt,4000,743
quicksort,input_semi_17.txt,4250,791
quicksort,input_semi_18.txt,4500,958
quicksort,input_semi_19.txt,4750,928
quicksort,input_semi_20.txt,5000,1486
quicksort,input_backsorted_1.txt,250,406
quicksort,input_backsorted_2.txt,500,1604
quicksort,input_backsorted_3.txt,750,3993
quicksort,input_backsorted_4.txt,1000,4556
quicksort,input_backsorted_5.txt,1250,5664
quicksort,input_backsorted_6.txt,1500,9213
quicksort,input_backsorted_7.txt,1750,13217
quicksort,input_backsorted_8.txt,2000,16781
quicksort,input_backsorted_9.txt,2250,20323
quicksort,input_backsorted_10.txt,2500,26636
quicksort,input_backsorted_11.txt,2750,29181
quicksort,input_backsorted_12.txt,3000,36939
quicksort,input_backsorted_13.txt,3250,40083
quicksort,input_backsorted_14.txt,3500,49470
quicksort,input_backsorted_15.txt,3750,51426
quicksort,input_backsorted_16.txt,4000,66394
quicksort,input_backsorted_17.txt,4250,67797
quicksort,input_backsorted_18.txt,4500,81615
quicksort,input_backsorted_19.txt,4750,93015
quicksort,input_backsorted_20.txt,5000,133315
stlsort,input_randomized_1.txt,250,45
stlsort,input_randomized_2.txt,500,102
stlsort,input_randomized_3.txt,750,150
stlsort,input_randomized_4.txt,1000,251
stlsort,input_randomized_5.txt,1250,260
stlsort,input_randomized_6.txt,1500,320
stlsort,input_randomized_7.txt,1750,411
stlsort,input_randomized_8.txt,2000,474
stlsort,input_randomized_9.txt,2250,533
stlsort,input_randomized_10.txt,2500,939
stlsort,input_randomized_11.txt,2750,578
stlsort,input_randomized_12.txt,3000,683
stlsort,input_randomized_13.txt,3250,795
stlsort,input_randomized_14.txt,3500,901
stlsort,input_randomized_15.txt,3750,891
stlsort,input_randomized_16.txt,4000,1011
stlsort,input_randomized_17.txt,4250,1032
stlsort,input_randomized_18.txt,4500,5067
stlsort,input_randomized_19.txt,4750,1137
stlsort,input_randomized_20.txt,5000,1333
stlsort,input_partial_1.txt,250,29
stlsort,input_partial_2.txt,500,62
stlsort,input_partial_3.txt,750,96
stlsort,input_partial_4.txt,1000,166
stlsort,input_partial_5.txt,1250,192
stlsort,input_partial_6.txt,1500,273
stlsort,input_partial_7.txt,1750,441
stlsort,input_partial_8.txt,2000,286
stlsort,input_partial_9.txt,2250,336
stlsort,input_partial_10.txt,2500,445
stlsort,input_partial_11.txt,2750,413
stlsort,input_partial_12.txt,3000,463
stlsort,input_partial_13.txt,3250,634
stlsort,input_partial_14.txt,3500,520
stlsort,input_partial_15.txt,3750,573
stlsort,input_partial_16.txt,4000,657
stlsort,input_partial_17.txt,4250,698
